question,db,lbl,sql,diff,related_tab_cnts,answer,related_tabs
Find the number of concerts happened in the stadium with the highest capacity .,concert_singer,100,select count(*) from concert where stadium_id = (select stadium_id from stadium order by capacity desc limit 1),,2,0.0,concert_singer#sep#stadium [TAB] concert_singer#sep#concert
What are the number of concerts that occurred in the stadium with the largest capacity ?,concert_singer,100,select count(*) from concert where stadium_id = (select stadium_id from stadium order by capacity desc limit 1),,2,0.0,concert_singer#sep#stadium [TAB] concert_singer#sep#concert
Find number of pets owned by students who are older than 20.,pets_1,1,SELECT count(*) FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid WHERE T1.age  >  20,,2,0.0,pets_1#sep#Has_Pet#sep#Has_Pet [TAB] pets_1#sep#Student
How many pets are owned by students that have an age greater than 20?,pets_1,1,SELECT count(*) FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid WHERE T1.age  >  20,,2,0.0,pets_1#sep#Has_Pet#sep#Has_Pet [TAB] pets_1#sep#Student
Find the number of dog pets that are raised by female students (with sex F).,pets_1,101,SELECT count(*) FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T2.petid  =  T3.petid WHERE T1.sex  =  'F' AND T3.pettype  =  'dog',,3,2.0,pets_1#sep#Pets#sep#Pets [TAB] pets_1#sep#Has_Pet#sep#Has_Pet [TAB] pets_1#sep#Student
How many dog pets are raised by female students?,pets_1,101,SELECT count(*) FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T2.petid  =  T3.petid WHERE T1.sex  =  'F' AND T3.pettype  =  'dog',,3,2.0,pets_1#sep#Pets#sep#Pets [TAB] pets_1#sep#Has_Pet#sep#Has_Pet [TAB] pets_1#sep#Student
How many car makers are there in france?,car_1,10,SELECT count(*) FROM CAR_MAKERS AS T1 JOIN COUNTRIES AS T2 ON T1.Country  =  T2.CountryId WHERE T2.CountryName  =  'france';,,2,3.0,car_1#sep#countries#sep#countries [TAB] car_1#sep#car_makers#sep#car_makers
What is the number of makers of care in France?,car_1,10,SELECT count(*) FROM CAR_MAKERS AS T1 JOIN COUNTRIES AS T2 ON T1.Country  =  T2.CountryId WHERE T2.CountryName  =  'france';,,2,3.0,car_1#sep#countries#sep#countries [TAB] car_1#sep#car_makers#sep#car_makers
What is the count of the car models produced in the United States?,car_1,100,SELECT count(*) FROM MODEL_LIST AS T1 JOIN CAR_MAKERS AS T2 ON T1.Maker  =  T2.Id JOIN COUNTRIES AS T3 ON T2.Country  =  T3.CountryId WHERE T3.CountryName  =  'usa';,,3,13.0,car_1#sep#countries#sep#countries [TAB] car_1#sep#model_list#sep#model_list [TAB] car_1#sep#car_makers#sep#car_makers
How many flights depart from City Aberdeen?,flight_2,1,"SELECT count(*) FROM FLIGHTS AS T1 JOIN AIRPORTS AS T2 ON T1.SourceAirport  =  T2.AirportCode WHERE T2.City  =  ""Aberdeen""",,2,0.0,flight_2#sep#flights#sep#flights4 [TAB] flight_2#sep#flights#sep#flights11 [TAB] flight_2#sep#flights#sep#flights17 [TAB] flight_2#sep#flights#sep#flights1 [TAB] flight_2#sep#flights#sep#flights13 [TAB] flight_2#sep#flights#sep#flights16 [TAB] flight_2#sep#flights#sep#flights14 [TAB] flight_2#sep#flights#sep#flights10 [TAB] flight_2#sep#flights#sep#flights7 [TAB] flight_2#sep#flights#sep#flights3 [TAB] flight_2#sep#flights#sep#flights15 [TAB] flight_2#sep#flights#sep#flights9 [TAB] flight_2#sep#flights#sep#flights18 [TAB] flight_2#sep#flights#sep#flights5 [TAB] flight_2#sep#flights#sep#flights2 [TAB] flight_2#sep#flights#sep#flights6 [TAB] flight_2#sep#flights#sep#flights12 [TAB] flight_2#sep#flights#sep#flights0 [TAB] flight_2#sep#flights#sep#flights8 [TAB] flight_2#sep#airports#sep#airports1 [TAB] flight_2#sep#airports#sep#airports0
