question,db,lbl,sql,diff,related_tab_cnts,answer,related_tabs
What is the average number of test takers from Fresno schools that opened between 1/1/1980 and 12/31/1980?,california_schools,1,"SELECT AVG(T1.NumTstTakr) FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode WHERE strftime('%Y', T2.OpenDate) = '1980' AND T2.County = 'Fresno'",simple,2,137.88888888888889,california_schools#sep#satscores [TAB] california_schools#sep#schools#sep#School_Identification_and_Status11 [TAB] california_schools#sep#schools#sep#School_Identification_and_Status4 [TAB] california_schools#sep#schools#sep#School_Identification_and_Status2 [TAB] california_schools#sep#schools#sep#School_Identification_and_Status0 [TAB] california_schools#sep#schools#sep#School_Identification_and_Status7 [TAB] california_schools#sep#schools#sep#School_Identification_and_Status8 [TAB] california_schools#sep#schools#sep#School_Identification_and_Status3 [TAB] california_schools#sep#schools#sep#School_Identification_and_Status10 [TAB] california_schools#sep#schools#sep#School_Identification_and_Status5 [TAB] california_schools#sep#schools#sep#School_Identification_and_Status9 [TAB] california_schools#sep#schools#sep#School_Identification_and_Status6 [TAB] california_schools#sep#schools#sep#School_Identification_and_Status1
What is the total number of non-chartered schools in the county of Los Angeles with a percent (%) of eligible free meals for grades 1 through 12 that is less than 0.18%?,california_schools,11,SELECT COUNT(T2.School) FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T2.County = 'Los Angeles' AND T2.Charter = 0 AND CAST(T1.`Free Meal Count (K-12)` AS REAL) * 100 / T1.`Enrollment (K-12)` < 0.18,challenging,2,1.0,california_schools#sep#frpm#sep#Enrollment and Meal Eligibility Data3 [TAB] california_schools#sep#frpm#sep#Enrollment and Meal Eligibility Data8 [TAB] california_schools#sep#frpm#sep#Enrollment and Meal Eligibility Data2 [TAB] california_schools#sep#frpm#sep#Enrollment and Meal Eligibility Data4 [TAB] california_schools#sep#frpm#sep#Enrollment and Meal Eligibility Data5 [TAB] california_schools#sep#frpm#sep#Enrollment and Meal Eligibility Data10 [TAB] california_schools#sep#frpm#sep#Enrollment and Meal Eligibility Data7 [TAB] california_schools#sep#frpm#sep#Enrollment and Meal Eligibility Data1 [TAB] california_schools#sep#frpm#sep#Enrollment and Meal Eligibility Data6 [TAB] california_schools#sep#frpm#sep#Enrollment and Meal Eligibility Data0 [TAB] california_schools#sep#frpm#sep#Enrollment and Meal Eligibility Data9 [TAB] california_schools#sep#schools#sep#School_Identification_and_Status11 [TAB] california_schools#sep#schools#sep#School_Identification_and_Status4 [TAB] california_schools#sep#schools#sep#School_Identification_and_Status2 [TAB] california_schools#sep#schools#sep#School_Identification_and_Status0 [TAB] california_schools#sep#schools#sep#School_Identification_and_Status7 [TAB] california_schools#sep#schools#sep#School_Identification_and_Status8 [TAB] california_schools#sep#schools#sep#School_Identification_and_Status3 [TAB] california_schools#sep#schools#sep#School_Identification_and_Status10 [TAB] california_schools#sep#schools#sep#School_Identification_and_Status5 [TAB] california_schools#sep#schools#sep#School_Identification_and_Status9 [TAB] california_schools#sep#schools#sep#School_Identification_and_Status6 [TAB] california_schools#sep#schools#sep#School_Identification_and_Status1
How many accounts who choose issuance after transaction are staying in East Bohemia region?,financial,11,SELECT COUNT(T2.account_id) FROM district AS T1 INNER JOIN account AS T2 ON T1.district_id = T2.district_id WHERE T1.A3 = 'east Bohemia' AND T2.frequency = 'POPLATEK PO OBRATU',moderate,2,13.0,financial#sep#district#sep#district_basic_info3 [TAB] financial#sep#district#sep#district_basic_info5 [TAB] financial#sep#district#sep#district_basic_info4 [TAB] financial#sep#district#sep#district_basic_info7 [TAB] financial#sep#district#sep#district_basic_info0 [TAB] financial#sep#district#sep#district_basic_info1 [TAB] financial#sep#district#sep#district_basic_info6 [TAB] financial#sep#district#sep#district_basic_info2 [TAB] financial#sep#account#sep#account1 [TAB] financial#sep#account#sep#account2 [TAB] financial#sep#account#sep#account0
How many accounts who have region in Prague are eligible for loans?,financial,1,SELECT COUNT(T1.account_id) FROM account AS T1 INNER JOIN loan AS T2 ON T1.account_id = T2.account_id INNER JOIN district AS T3 ON T1.district_id = T3.district_id WHERE T3.A3 = 'Prague',simple,3,84.0,financial#sep#loan#sep#loan_identification1 [TAB] financial#sep#loan#sep#loan_identification2 [TAB] financial#sep#loan#sep#loan_identification0 [TAB] financial#sep#loan#sep#loan_identification3 [TAB] financial#sep#district#sep#district_basic_info3 [TAB] financial#sep#district#sep#district_basic_info5 [TAB] financial#sep#district#sep#district_basic_info4 [TAB] financial#sep#district#sep#district_basic_info7 [TAB] financial#sep#district#sep#district_basic_info0 [TAB] financial#sep#district#sep#district_basic_info1 [TAB] financial#sep#district#sep#district_basic_info6 [TAB] financial#sep#district#sep#district_basic_info2 [TAB] financial#sep#account#sep#account1 [TAB] financial#sep#account#sep#account2 [TAB] financial#sep#account#sep#account0
How many customers who choose statement of weekly issuance are Owner?,financial,11,SELECT COUNT(T1.account_id) FROM account AS T1 INNER JOIN disp AS T2 ON T1.account_id = T2.account_id WHERE T2.type = 'OWNER' AND T1.frequency = 'POPLATEK TYDNE',simple,2,240.0,financial#sep#disp#sep#disp0 [TAB] financial#sep#disp#sep#disp1 [TAB] financial#sep#account#sep#account1 [TAB] financial#sep#account#sep#account2 [TAB] financial#sep#account#sep#account0
"Among the account opened, how many female customers who were born before 1950 and stayed in Sokolov?",financial,11,"SELECT COUNT(T2.client_id) FROM district AS T1 INNER JOIN client AS T2 ON T1.district_id = T2.district_id WHERE T2.gender = 'F' AND STRFTIME('%Y', T2.birth_date) < '1950' AND T1.A2 = 'Sokolov'",moderate,2,8.0,financial#sep#district#sep#district_municipalities4 [TAB] financial#sep#district#sep#district_municipalities6 [TAB] financial#sep#district#sep#district_basic_info3 [TAB] financial#sep#district#sep#district_basic_info5 [TAB] financial#sep#district#sep#district_basic_info4 [TAB] financial#sep#district#sep#district_statistics0 [TAB] financial#sep#district#sep#district_statistics4 [TAB] financial#sep#district#sep#district_basic_info7 [TAB] financial#sep#district#sep#district_statistics2 [TAB] financial#sep#district#sep#district_basic_info0 [TAB] financial#sep#district#sep#district_municipalities0 [TAB] financial#sep#district#sep#district_statistics3 [TAB] financial#sep#district#sep#district_municipalities2 [TAB] financial#sep#district#sep#district_basic_info1 [TAB] financial#sep#district#sep#district_basic_info6 [TAB] financial#sep#district#sep#district_municipalities5 [TAB] financial#sep#district#sep#district_basic_info2 [TAB] financial#sep#district#sep#district_municipalities3 [TAB] financial#sep#district#sep#district_municipalities7 [TAB] financial#sep#district#sep#district_municipalities1 [TAB] financial#sep#district#sep#district_statistics5 [TAB] financial#sep#district#sep#district_statistics6 [TAB] financial#sep#district#sep#district_statistics1 [TAB] financial#sep#client#sep#client0 [TAB] financial#sep#client#sep#client1
How many accounts were opened in Litomerice in 1996?,financial,11,"SELECT COUNT(T2.account_id) FROM district AS T1 INNER JOIN account AS T2 ON T1.district_id = T2.district_id WHERE STRFTIME('%Y', T2.date) = '1996' AND T1.A2 = 'Litomerice'",simple,2,9.0,financial#sep#district#sep#district_municipalities4 [TAB] financial#sep#district#sep#district_municipalities6 [TAB] financial#sep#district#sep#district_basic_info3 [TAB] financial#sep#district#sep#district_basic_info5 [TAB] financial#sep#district#sep#district_basic_info4 [TAB] financial#sep#district#sep#district_statistics0 [TAB] financial#sep#district#sep#district_statistics4 [TAB] financial#sep#district#sep#district_basic_info7 [TAB] financial#sep#district#sep#district_statistics2 [TAB] financial#sep#district#sep#district_basic_info0 [TAB] financial#sep#district#sep#district_municipalities0 [TAB] financial#sep#district#sep#district_statistics3 [TAB] financial#sep#district#sep#district_municipalities2 [TAB] financial#sep#district#sep#district_basic_info1 [TAB] financial#sep#district#sep#district_basic_info6 [TAB] financial#sep#district#sep#district_municipalities5 [TAB] financial#sep#district#sep#district_basic_info2 [TAB] financial#sep#district#sep#district_municipalities3 [TAB] financial#sep#district#sep#district_municipalities7 [TAB] financial#sep#district#sep#district_municipalities1 [TAB] financial#sep#district#sep#district_statistics5 [TAB] financial#sep#district#sep#district_statistics6 [TAB] financial#sep#district#sep#district_statistics1 [TAB] financial#sep#account#sep#account1 [TAB] financial#sep#account#sep#account2 [TAB] financial#sep#account#sep#account0
"How many high-level credit cards have ""OWNER"" type of disposition?",financial,11,SELECT COUNT(T1.card_id) FROM card AS T1 INNER JOIN disp AS T2 ON T1.disp_id = T2.disp_id WHERE T1.type = 'gold' AND T2.type = 'OWNER',simple,2,88.0,financial#sep#card [TAB] financial#sep#disp#sep#disp0 [TAB] financial#sep#disp#sep#disp1
"How many accounts are there in the district of ""Pisek""?",financial,1,SELECT COUNT(T1.account_id) FROM account AS T1 INNER JOIN district AS T2 ON T1.district_id = T2.district_id WHERE T2.A2 = 'Pisek',simple,2,46.0,financial#sep#district#sep#district_municipalities4 [TAB] financial#sep#district#sep#district_municipalities6 [TAB] financial#sep#district#sep#district_basic_info3 [TAB] financial#sep#district#sep#district_basic_info5 [TAB] financial#sep#district#sep#district_basic_info4 [TAB] financial#sep#district#sep#district_statistics0 [TAB] financial#sep#district#sep#district_statistics4 [TAB] financial#sep#district#sep#district_basic_info7 [TAB] financial#sep#district#sep#district_statistics2 [TAB] financial#sep#district#sep#district_basic_info0 [TAB] financial#sep#district#sep#district_municipalities0 [TAB] financial#sep#district#sep#district_statistics3 [TAB] financial#sep#district#sep#district_municipalities2 [TAB] financial#sep#district#sep#district_basic_info1 [TAB] financial#sep#district#sep#district_basic_info6 [TAB] financial#sep#district#sep#district_municipalities5 [TAB] financial#sep#district#sep#district_basic_info2 [TAB] financial#sep#district#sep#district_municipalities3 [TAB] financial#sep#district#sep#district_municipalities7 [TAB] financial#sep#district#sep#district_municipalities1 [TAB] financial#sep#district#sep#district_statistics5 [TAB] financial#sep#district#sep#district_statistics6 [TAB] financial#sep#district#sep#district_statistics1 [TAB] financial#sep#account#sep#account1 [TAB] financial#sep#account#sep#account2 [TAB] financial#sep#account#sep#account0
How many female clients' accounts are in the region of South Bohemia?,financial,11,SELECT COUNT(T1.client_id) FROM client AS T1 INNER JOIN district AS T2 ON T1.district_id = T2.district_id WHERE T1.gender = 'F' AND T2.A3 = 'south Bohemia',simple,2,231.0,financial#sep#district#sep#district_basic_info3 [TAB] financial#sep#district#sep#district_basic_info5 [TAB] financial#sep#district#sep#district_basic_info4 [TAB] financial#sep#district#sep#district_basic_info7 [TAB] financial#sep#district#sep#district_basic_info0 [TAB] financial#sep#district#sep#district_basic_info1 [TAB] financial#sep#district#sep#district_basic_info6 [TAB] financial#sep#district#sep#district_basic_info2 [TAB] financial#sep#client#sep#client0 [TAB] financial#sep#client#sep#client1
